model,split,macro_f1,weighted_f1,balanced_accuracy,roc_auc_ovr_macro,roc_auc_ovr_weighted
icu_los_classifier,test,0.5992641284321706,0.6476321409987265,0.6254336364980982,0.816093720662663,0.8091157786855137
random_forest,test,0.5792292878620883,0.6486664362546612,0.5659241537993537,0.8074601972425818,0.800976873403392
logistic_regression,test,0.5605159382148307,0.6084803818241823,0.6044485157512381,0.7852617523521278,0.7759495339264006
dummy_most_frequent,test,0.2245891472868217,0.3422948433327733,0.3333333333333333,0.5,0.5
icu_los_classifier,validation,0.596221629663881,0.6443278985133433,0.6210783472501903,0.8188792982123451,0.813020938993468
random_forest,validation,0.5804971184906985,0.6464706694301823,0.566463878380619,0.8095995010764637,0.8032057948419357
logistic_regression,validation,0.5551938388971257,0.6035032391756846,0.5960913600783947,0.7856754413513557,0.7761062414390499
dummy_most_frequent,validation,0.22644586626521138,0.3494455303009745,0.3333333333333333,0.5,0.5
